filename,store_name,store_address,store_code,taxpayer_name,voen,receipt_number,cashier_name,date,time,item_name,quantity,unit_price,line_total,subtotal,vat_18_percent,total_tax,nagdsiz,nagd,bonus,avans,nisye,queue_number,nka_model,nka_serial,fiscal_id,nmq_registration,refund_amount,refund_date,refund_time
Co75sE7DgJM7.jpeg,ALSHAYA,,1701513331-14002,ALSHAYA,1701513331,40821,MEHMEDZADE,23.01.2024,13:13:29,Caramel Surup Ekle (ədəd),1.0,2.5,2.5,9.50,,1.45,9.50,0.00,0.00,0.00,0.00,32,Micros Vlork Station 6,1334ВАА13008797,Co75sE7Dg)M7,0000093453,0.25,23.02.2024,05:56
3ZExv5gwy8of.jpeg,ARAZ,,1001994141-20022,ARAZ,1001994141,,,,,VİTAMİN MÜLTİVİTAMIN,1000.0,249.0,249.0,9.24,,,0.00,0.00,0.00,0.00,0.00,738,NBA FiscalBox,900119100843,3ZExv5gvy8of,0000007875,0.23,13.04.2023,07:09
3ZExv5gwy8of.jpeg,ARAZ,,1001994141-20022,ARAZ,1001994141,,,,,İVANOVKA DOVGA 4506,2.0,1.55,3.1,9.24,,,0.00,0.00,0.00,0.00,0.00,738,NBA FiscalBox,900119100843,3ZExv5gvy8of,0000007875,0.23,13.04.2023,07:09
3ZExv5gwy8of.jpeg,ARAZ,,1001994141-20022,ARAZ,1001994141,,,,,LEZZET DUNYASI PAYTA,1.0,2.95,2.95,9.24,,,0.00,0.00,0.00,0.00,0.00,738,NBA FiscalBox,900119100843,3ZExv5gvy8of,0000007875,0.23,13.04.2023,07:09
3ZExv5gwy8of.jpeg,ARAZ,,1001994141-20022,ARAZ,1001994141,,,,,ХАО-ХАО COREK 3606,1000.0,0.65,0.65,9.24,,,0.00,0.00,0.00,0.00,0.00,738,NBA FiscalBox,900119100843,3ZExv5gvy8of,0000007875,0.23,13.04.2023,07:09
3ZExv5gwy8of.jpeg,ARAZ,,1001994141-20022,ARAZ,1001994141,,,,,ƏDV-dən azad Paket Araz 31*60 5 K,1.0,0.05,0.05,9.24,,,0.00,0.00,0.00,0.00,0.00,738,NBA FiscalBox,900119100843,3ZExv5gvy8of,0000007875,0.23,13.04.2023,07:09
61WvdwLNQkUA.jpeg,ARAZ,,1001994141-20022,ARAZ,1001994141,,Agos Bagirov,17.03.2023,23:19:47,İVANOVKA DOVGA 4506R,2000.0,155.0,3.1,8.55,,,8.55,0.00,0.00,0.00,0.00,511,NBA FiscalBox,900119100843,61V/vdurLNQKUA,0000007875,0.23,16.04.2023,06:28
61WvdwLNQkUA.jpeg,ARAZ,,1001994141-20022,ARAZ,1001994141,,Agos Bagirov,17.03.2023,23:19:47,LEZZET DUNYASI VİNEQ,1.0,2.95,2.95,8.55,,,8.55,0.00,0.00,0.00,0.00,511,NBA FiscalBox,900119100843,61V/vdurLNQKUA,0000007875,0.23,16.04.2023,06:28
61WvdwLNQkUA.jpeg,ARAZ,,1001994141-20022,ARAZ,1001994141,,Agos Bagirov,17.03.2023,23:19:47,EHRMANN SMETANOVNA X,1.0,2.5,2.5,8.55,,,8.55,0.00,0.00,0.00,0.00,511,NBA FiscalBox,900119100843,61V/vdurLNQKUA,0000007875,0.23,16.04.2023,06:28
AYLWSFfkBtwQ.jpeg,SAHİL TRADİNG,,,SAHİL TRADİNG,0800005671,,,,,,,,,12.67,,1.93,12.67,0.00,0.00,0.00,0.00,68,NCR RealPOS XR7 (7703) KLR M-POS 1.05.90,0000039752,AYLIVSFTKBDvQ,0000131911,0.34,27.05.2023,05:59
